_id,Unnamed: 0,nyt_id,title,Amazon_url,author,publisher,description,published_date,bestseller_date,rank,rank_last_week,weeks_on_list,NYT_Price,Amazon_Price,Amazon_reviews,Amazon_rating,Amazon_Discount%
ObjectId("5c80968cd5cf373b2803c3be"),46,5b4aa4ead3089013507db209,CHASING DARKNESS,http://www.amazon.com/Chasing-Darkness-Elvis-Novel-Novels/dp/0743281640?tag=NYTBS-20,Robert Crais,Simon & Schuster,he Los Angeles private eye Elvis Cole responsible for the release of a serial killer?,1216512000000,1215216000000,7,0,1,25.95,8.99,583,4.5,34.64
ObjectId("5c80968cd5cf373b2803c3bf"),47,5b4aa4ead3089013507db20b,DEATH ANGEL,http://www.amazon.com/Death-Angel-Novel-Linda-Howard/dp/0345486552?tag=NYTBS-20,Linda Howard,Ballantine,A crime lord’s former mistress cooperates with the F.B.I.,1216512000000,1215216000000,9,0,1,26,7.99,260,4.2,30.73
ObjectId("5c80968cd5cf373b2803c3c0"),48,5b4aa4ead3089013507db215,A SUMMER AFFAIR,http://www.amazon.com/A-Summer-Affair-Novel/dp/B003P2VBNU?tag=NYTBS-20,Elin Hilderbrand,Little Brown & Company,A successful married artist is attracted to a billionaire on Nantucket.,1216512000000,1215216000000,19,0,0,0,7.99,241,3.7,Infinity
ObjectId("5c80968cd5cf373b2803c3c1"),49,5b4aa4ead3089013507db217,TRIBUTE,http://www.amazon.com/Tribute-Nora-Roberts/dp/0515146366?tag=NYTBS-20,Nora Roberts,Putnam,A former child star returns to Virginia to rehabilitate the farm owned by her grandmother, an actress who died mysteriously.,1217116800000,1215820800000,1,0,1,26.95,7.99,395,4.4,29.65
ObjectId("5c80968cd5cf373b2803c3c2"),50,5b4aa4ead3089013507db21b,SWAN PEAK,http://www.amazon.com/Swan-Peak-Dave-Robicheaux-No/dp/1416548548?tag=NYTBS-20,James Lee Burke,Simon & Schuster,The Louisiana detective Dave Robicheaux can’t escape trouble on his Montana vacation.,1217116800000,1215820800000,5,0,1,25.95,9.99,253,4.4,38.5
ObjectId("5c80968cd5cf373b2803c3c3"),51,5b4aa4ead3089013507db225,SILENT THUNDER,http://www.amazon.com/Silent-Thunder-Iris-Johansen/dp/0312368003?tag=NYTBS-20,Iris Johansen and Roy Johansen,St. Martin’s,A decommissioned Soviet submarine holds a deadly secret.,1217116800000,1215820800000,15,0,1,24.95,7.99,80,4.1,32.02
ObjectId("5c80968cd5cf373b2803c3c4"),52,5b4aa4ead3089013507db22d,RULES OF DECEPTION,http://www.amazon.com/Rules-Deception-Christopher-Reich/dp/0307387828?tag=NYTBS-20,Christopher Reich,Doubleday,The death of a surgeon’s wife draws him into a world of espionage and terrorism.,1217721600000,1216425600000,3,0,1,27.95,4.99,196,4,17.85
ObjectId("5c80968cd5cf373b2803c3c5"),53,5b4aa4ead3089013507db232,JUST TOO GOOD TO BE TRUE,http://www.amazon.com/Just-Too-Good-Be-True/dp/0385492723?tag=NYTBS-20,E Lynn Harris,Double­day,Secrets threaten the relationship between a mother, a successful Atlanta entrepreneur, and her son, a college football player who is bound for the N.F.L.,1217721600000,1216425600000,8,0,1,24.95,11.99,137,4.1,48.06
ObjectId("5c80968cd5cf373b2803c3c6"),54,5b4aa4ead3089013507db236,SAY GOODBYE,http://www.amazon.com/Say-Goodbye-FBI-Profiler-Novel/dp/0553588095?tag=NYTBS-20,Lisa Gardner,Bantam,An F.B.I. agent tracks a serial killer who uses spiders as a weapon.,1217721600000,1216425600000,12,0,1,25,7.99,368,4.2,31.96
ObjectId("5c80968cd5cf373b2803c3c7"),55,5b4aa4ead3089013507db239,KILLER VIEW,http://www.amazon.com/Killer-View-Fleming-Ridley-Pearson/dp/0515146498?tag=NYTBS-20,Ridley Pearson,Putnam,A sheriff in Sun Valley, Idaho, investigates a series of crimes against a backdrop of conflict between wealthy vacationers and locals.,1217721600000,1216425600000,15,0,1,24.95,9.99,50,4.1,40.04
